driver_actions,objects_in_scene,hand_on_gear,hands_using_wheel,talking,gaze_on_road,eyes_state,yawning,road_type,weather,time_of_day,traffic_density,car_speed,risk_score
standstill_or_waiting,none,NA,only_left,Yawning,looking_road,closing,NA,highway,clear,evening,low,severe_over,0.316
standstill_or_waiting,none,NA,only_left,Yawning,looking_road,open,NA,urban,clear,morning,medium,severe_over,0.201
standstill_or_waiting,none,NA,only_left,Yawning,looking_road,opening,NA,urban,fog,morning,medium,severe_over,0.295
standstill_or_waiting,none,NA,only_left,Yawning,looking_road,undefined,NA,highway,clear,afternoon,low,under,0.205
standstill_or_waiting,none,NA,only_left,Yawning,not_looking_road,close,NA,highway,rain,evening,medium,severe_over,0.471
standstill_or_waiting,none,NA,only_left,Yawning,not_looking_road,closing,NA,highway,clear,afternoon,high,severe_over,0.434
standstill_or_waiting,none,NA,only_left,Yawning,not_looking_road,open,NA,highway,rain,evening,medium,under,0.348
standstill_or_waiting,none,NA,only_left,Yawning,not_looking_road,opening,NA,urban,fog,afternoon,medium,under,0.357
standstill_or_waiting,none,NA,only_left,Yawning,not_looking_road,undefined,NA,highway,fog,afternoon,high,under,0.406
standstill_or_waiting,none,NA,only_right,talking,looking_road,close,NA,urban,fog,morning,medium,severe_over,0.361
standstill_or_waiting,none,NA,only_right,talking,looking_road,closing,NA,highway,rain,morning,high,severe_over,0.389
standstill_or_waiting,none,NA,only_right,talking,looking_road,open,NA,highway,rain,afternoon,low,severe_over,0.303
standstill_or_waiting,none,NA,only_right,talking,looking_road,opening,NA,highway,clear,morning,high,severe_over,0.316
standstill_or_waiting,none,NA,only_right,talking,looking_road,undefined,NA,highway,clear,evening,high,severe_over,0.357
standstill_or_waiting,none,NA,only_right,talking,not_looking_road,close,NA,urban,rain,evening,high,none,0.422
standstill_or_waiting,none,NA,only_right,talking,not_looking_road,closing,NA,urban,fog,afternoon,medium,severe_over,0.48
standstill_or_waiting,none,NA,only_right,talking,not_looking_road,open,NA,urban,clear,evening,low,over,0.324
standstill_or_waiting,none,NA,only_right,talking,not_looking_road,opening,NA,highway,rain,evening,high,under,0.439
standstill_or_waiting,none,NA,only_right,talking,not_looking_road,undefined,NA,highway,rain,afternoon,high,severe_over,0.475
standstill_or_waiting,none,NA,only_right,not_talking,looking_road,close,NA,highway,fog,evening,high,severe_over,0.418
standstill_or_waiting,none,NA,only_right,not_talking,looking_road,closing,NA,highway,clear,afternoon,high,severe_over,0.336
standstill_or_waiting,none,NA,only_right,not_talking,looking_road,open,NA,highway,fog,evening,medium,none,0.246
standstill_or_waiting,none,NA,only_right,not_talking,looking_road,opening,NA,urban,fog,night,high,severe_over,0.381
standstill_or_waiting,none,NA,only_right,not_talking,looking_road,undefined,NA,highway,rain,morning,high,severe_over,0.324
standstill_or_waiting,none,NA,only_right,not_talking,not_looking_road,close,NA,highway,clear,evening,high,under,0.398
standstill_or_waiting,none,NA,only_right,not_talking,not_looking_road,closing,NA,highway,rain,afternoon,high,none,0.393
standstill_or_waiting,none,NA,only_right,not_talking,not_looking_road,open,NA,highway,clear,morning,high,under,0.291
standstill_or_waiting,none,NA,only_right,not_talking,not_looking_road,opening,NA,highway,clear,evening,high,under,0.365
standstill_or_waiting,none,NA,only_right,not_talking,not_looking_road,undefined,NA,highway,clear,afternoon,medium,over,0.344
standstill_or_waiting,none,NA,only_right,Yawning,looking_road,close,NA,urban,snow,morning,high,severe_over,0.373
standstill_or_waiting,none,NA,only_right,Yawning,looking_road,closing,NA,highway,clear,evening,high,severe_over,0.357
standstill_or_waiting,none,NA,only_right,Yawning,looking_road,open,NA,highway,clear,night,high,severe_over,0.311
standstill_or_waiting,none,NA,only_right,Yawning,looking_road,opening,NA,urban,rain,evening,high,severe_over,0.34
standstill_or_waiting,none,NA,only_right,Yawning,looking_road,undefined,NA,highway,clear,evening,high,under,0.266
standstill_or_waiting,none,NA,only_right,Yawning,not_looking_road,close,NA,rural,clear,afternoon,high,none,0.311
standstill_or_waiting,none,NA,only_right,Yawning,not_looking_road,closing,NA,highway,fog,afternoon,high,none,0.414
standstill_or_waiting,none,NA,only_right,Yawning,not_looking_road,open,NA,urban,clear,night,high,none,0.303
standstill_or_waiting,none,NA,only_right,Yawning,not_looking_road,opening,NA,highway,clear,morning,high,none,0.299
standstill_or_waiting,none,NA,only_right,Yawning,not_looking_road,undefined,NA,highway,fog,morning,medium,severe_over,0.418
standstill_or_waiting,none,NA,hand_on_gear,talking,looking_road,close,NA,highway,clear,morning,medium,severe_over,0.307
standstill_or_waiting,none,NA,hand_on_gear,talking,looking_road,closing,NA,highway,clear,evening,high,severe_over,0.373
standstill_or_waiting,none,NA,hand_on_gear,talking,looking_road,open,NA,rural,clear,morning,medium,over,0.168
standstill_or_waiting,none,NA,hand_on_gear,talking,looking_road,opening,NA,highway,clear,morning,low,over,0.225
standstill_or_waiting,none,NA,hand_on_gear,talking,looking_road,undefined,NA,urban,clear,evening,medium,over,0.258
standstill_or_waiting,none,NA,hand_on_gear,talking,not_looking_road,close,NA,highway,rain,evening,medium,severe_over,0.488
standstill_or_waiting,none,NA,hand_on_gear,talking,not_looking_road,closing,NA,highway,clear,afternoon,high,under,0.393
standstill_or_waiting,none,NA,hand_on_gear,talking,not_looking_road,open,NA,highway,clear,morning,low,severe_over,0.324
standstill_or_waiting,none,NA,hand_on_gear,talking,not_looking_road,opening,NA,highway,rain,evening,medium,under,0.398
standstill_or_waiting,none,NA,hand_on_gear,talking,not_looking_road,undefined,NA,highway,clear,afternoon,high,severe_over,0.418
standstill_or_waiting,none,NA,hand_on_gear,not_talking,looking_road,close,NA,highway,fog,morning,medium,severe_over,0.336
standstill_or_waiting,none,NA,hand_on_gear,not_talking,looking_road,closing,NA,highway,clear,evening,low,severe_over,0.299
standstill_or_waiting,none,NA,hand_on_gear,not_talking,looking_road,open,NA,urban,clear,afternoon,high,severe_over,0.23
standstill_or_waiting,none,NA,hand_on_gear,not_talking,looking_road,opening,NA,urban,clear,evening,medium,under,0.201
standstill_or_waiting,none,NA,hand_on_gear,not_talking,looking_road,undefined,NA,urban,fog,afternoon,medium,severe_over,0.299
standstill_or_waiting,none,NA,hand_on_gear,not_talking,not_looking_road,close,NA,highway,snow,evening,high,severe_over,0.52
standstill_or_waiting,none,NA,hand_on_gear,not_talking,not_looking_road,closing,NA,highway,rain,evening,medium,under,0.398
standstill_or_waiting,none,NA,hand_on_gear,not_talking,not_looking_road,open,NA,highway,snow,evening,medium,none,0.348
standstill_or_waiting,none,NA,hand_on_gear,not_talking,not_looking_road,opening,NA,highway,fog,morning,medium,none,0.32
standstill_or_waiting,none,NA,hand_on_gear,not_talking,not_looking_road,undefined,NA,highway,clear,afternoon,medium,none,0.279
standstill_or_waiting,none,NA,hand_on_gear,Yawning,looking_road,close,NA,urban,fog,evening,high,severe_over,0.377
standstill_or_waiting,none,NA,hand_on_gear,Yawning,looking_road,closing,NA,highway,rain,morning,medium,severe_over,0.316
standstill_or_waiting,none,NA,hand_on_gear,Yawning,looking_road,open,NA,highway,clear,afternoon,high,severe_over,0.254
standstill_or_waiting,none,NA,hand_on_gear,Yawning,looking_road,opening,NA,highway,rain,afternoon,high,severe_over,0.328
standstill_or_waiting,none,NA,hand_on_gear,Yawning,looking_road,undefined,NA,urban,rain,morning,high,severe_over,0.283
standstill_or_waiting,none,NA,hand_on_gear,Yawning,not_looking_road,close,NA,urban,rain,afternoon,high,severe_over,0.434
standstill_or_waiting,none,NA,hand_on_gear,Yawning,not_looking_road,closing,NA,highway,clear,evening,high,severe_over,0.439
standstill_or_waiting,none,NA,hand_on_gear,Yawning,not_looking_road,open,NA,highway,rain,afternoon,high,under,0.336
standstill_or_waiting,none,NA,hand_on_gear,Yawning,not_looking_road,opening,NA,rural,rain,night,medium,severe_over,0.402
standstill_or_waiting,none,NA,hand_on_gear,Yawning,not_looking_road,undefined,NA,highway,snow,evening,high,none,0.406
reach_side,none,NA,none,talking,looking_road,close,NA,urban,fog,morning,high,severe_over,0.598
reach_side,none,NA,none,talking,looking_road,closing,NA,urban,fog,morning,high,severe_over,0.598
reach_side,none,NA,none,talking,looking_road,open,NA,rural,snow,evening,medium,severe_over,0.553
reach_side,none,NA,none,talking,looking_road,opening,NA,urban,clear,afternoon,high,severe_over,0.525
reach_side,none,NA,none,talking,looking_road,undefined,NA,highway,clear,afternoon,low,severe_over,0.508
reach_side,none,NA,none,talking,not_looking_road,close,NA,urban,fog,morning,high,under,0.639
reach_side,none,NA,none,talking,not_looking_road,closing,NA,urban,clear,evening,medium,over,0.619
reach_side,none,NA,none,talking,not_looking_road,open,NA,highway,rain,evening,medium,under,0.594
reach_side,none,NA,none,talking,not_looking_road,opening,NA,highway,clear,evening,high,severe_over,0.668
reach_side,none,NA,none,talking,not_looking_road,undefined,NA,urban,clear,morning,medium,under,0.52
reach_side,none,NA,none,not_talking,looking_road,close,NA,highway,fog,evening,high,under,0.574
reach_side,none,NA,none,not_talking,looking_road,closing,NA,highway,rain,evening,high,severe_over,0.611
reach_side,none,NA,none,not_talking,looking_road,open,NA,highway,snow,night,low,severe_over,0.566
reach_side,none,NA,none,not_talking,looking_road,opening,NA,urban,fog,evening,medium,severe_over,0.549
reach_side,none,NA,none,not_talking,looking_road,undefined,NA,rural,snow,afternoon,medium,severe_over,0.533
reach_side,none,NA,none,not_talking,not_looking_road,close,NA,urban,snow,morning,high,severe_over,0.684
reach_side,none,NA,none,not_talking,not_looking_road,closing,NA,urban,rain,morning,high,severe_over,0.643
reach_side,none,NA,none,not_talking,not_looking_road,open,NA,urban,fog,night,high,severe_over,0.66
reach_side,none,NA,none,not_talking,not_looking_road,opening,NA,highway,fog,afternoon,medium,none,0.57
reach_side,none,NA,none,not_talking,not_looking_road,undefined,NA,urban,clear,evening,high,severe_over,0.611
reach_side,none,NA,none,Yawning without hand,looking_road,close,NA,rural,rain,morning,high,none,0.447
reach_side,none,NA,none,Yawning without hand,looking_road,closing,NA,urban,clear,night,high,severe_over,0.566
reach_side,none,NA,none,Yawning without hand,looking_road,open,NA,rural,clear,afternoon,medium,severe_over,0.418
reach_side,none,NA,none,Yawning without hand,looking_road,opening,NA,urban,clear,afternoon,high,severe_over,0.492
reach_side,none,NA,none,Yawning without hand,looking_road,undefined,NA,urban,fog,morning,medium,severe_over,0.508
reach_side,none,NA,none,Yawning without hand,not_looking_road,close,NA,urban,fog,afternoon,high,under,0.627
reach_side,none,NA,none,Yawning without hand,not_looking_road,closing,NA,highway,clear,evening,medium,under,0.586
reach_side,none,NA,none,Yawning without hand,not_looking_road,open,NA,urban,fog,afternoon,high,under,0.561
reach_side,none,NA,none,Yawning without hand,not_looking_road,opening,NA,highway,clear,evening,high,severe_over,0.635
reach_side,none,NA,none,Yawning without hand,not_looking_road,undefined,NA,urban,fog,afternoon,high,severe_over,0.652
reach_side,none,NA,only_left,talking,looking_road,close,NA,rural,fog,afternoon,high,none,0.373
reach_side,none,NA,only_left,talking,looking_road,closing,NA,highway,clear,morning,high,severe_over,0.414
reach_side,none,NA,only_left,talking,looking_road,open,NA,urban,snow,afternoon,high,under,0.369
reach_side,none,NA,only_left,talking,looking_road,opening,NA,urban,clear,afternoon,high,severe_over,0.377
reach_side,none,NA,only_left,talking,looking_road,undefined,NA,urban,rain,morning,high,none,0.316
reach_side,none,NA,only_left,talking,not_looking_road,close,NA,highway,clear,evening,medium,severe_over,0.529
reach_side,none,NA,only_left,talking,not_looking_road,closing,NA,rural,fog,evening,medium,none,0.467
reach_side,none,NA,only_left,talking,not_looking_road,open,NA,rural,rain,evening,medium,severe_over,0.463
reach_side,none,NA,only_left,talking,not_looking_road,opening,NA,highway,snow,afternoon,low,under,0.484
reach_side,none,NA,only_left,talking,not_looking_road,undefined,NA,urban,fog,afternoon,medium,none,0.43
reach_side,none,NA,only_left,not_talking,looking_road,close,NA,rural,fog,morning,medium,under,0.32
reach_side,none,NA,only_left,not_talking,looking_road,closing,NA,highway,rain,evening,high,severe_over,0.463
reach_side,none,NA,only_left,not_talking,looking_road,open,NA,highway,clear,afternoon,medium,none,0.23
reach_side,none,NA,only_left,not_talking,looking_road,opening,NA,rural,rain,evening,high,severe_over,0.389
reach_side,none,NA,only_left,not_talking,looking_road,undefined,NA,urban,rain,afternoon,medium,none,0.279
reach_side,none,NA,only_left,not_talking,not_looking_road,close,NA,highway,rain,morning,medium,severe_over,0.496
reach_side,none,NA,only_left,not_talking,not_looking_road,closing,NA,highway,clear,afternoon,medium,severe_over,0.475
reach_side,none,NA,only_left,not_talking,not_looking_road,open,NA,highway,fog,morning,medium,none,0.369
reach_side,none,NA,only_left,not_talking,not_looking_road,opening,NA,urban,fog,night,medium,under,0.463
reach_side,none,NA,only_left,not_talking,not_looking_road,undefined,NA,rural,fog,morning,high,severe_over,0.467
reach_side,none,NA,only_left,Yawning without hand,looking_road,close,NA,urban,rain,night,high,severe_over,0.459
reach_side,none,NA,only_left,Yawning without hand,looking_road,closing,NA,highway,snow,morning,medium,none,0.357
reach_side,none,NA,only_left,Yawning without hand,looking_road,open,NA,urban,clear,morning,medium,over,0.234
reach_side,none,NA,only_left,Yawning without hand,looking_road,opening,NA,highway,clear,morning,high,severe_over,0.348
reach_side,none,NA,only_left,Yawning without hand,looking_road,undefined,NA,urban,snow,afternoon,high,under,0.369
reach_side,none,NA,only_left,Yawning without hand,not_looking_road,close,NA,highway,clear,night,medium,none,0.434
reach_side,none,NA,only_left,Yawning without hand,not_looking_road,closing,NA,rural,clear,afternoon,high,under,0.402
reach_side,none,NA,only_left,Yawning without hand,not_looking_road,open,NA,highway,rain,morning,high,none,0.373
reach_side,none,NA,only_left,Yawning without hand,not_looking_road,opening,NA,urban,fog,afternoon,high,under,0.447
reach_side,none,NA,only_left,Yawning without hand,not_looking_road,undefined,NA,urban,clear,afternoon,high,severe_over,0.443
reach_side,none,NA,only_right,talking,looking_road,close,NA,highway,fog,afternoon,high,under,0.439
reach_side,none,NA,only_right,talking,looking_road,closing,NA,highway,rain,morning,high,severe_over,0.455
reach_side,none,NA,only_right,talking,looking_road,open,NA,highway,rain,morning,medium,severe_over,0.365
reach_side,none,NA,only_right,talking,looking_road,opening,NA,urban,clear,morning,medium,over,0.299
reach_side,none,NA,only_right,talking,looking_road,undefined,NA,highway,rain,afternoon,high,severe_over,0.443
reach_side,none,NA,only_right,talking,not_looking_road,close,NA,highway,rain,night,high,under,0.557
reach_side,none,NA,only_right,talking,not_looking_road,closing,NA,urban,clear,afternoon,medium,over,0.451
reach_side,none,NA,only_right,talking,not_looking_road,open,NA,highway,fog,evening,high,severe_over,0.549
reach_side,none,NA,only_right,talking,not_looking_road,opening,NA,rural,rain,evening,high,severe_over,0.52
reach_side,none,NA,only_right,talking,not_looking_road,undefined,NA,highway,rain,evening,medium,severe_over,0.537
reach_side,none,NA,only_right,not_talking,looking_road,close,NA,highway,rain,morning,high,under,0.365
reach_side,none,NA,only_right,not_talking,looking_road,closing,NA,urban,rain,afternoon,high,severe_over,0.418
reach_side,none,NA,only_right,not_talking,looking_road,open,NA,highway,clear,evening,medium,over,0.299
reach_side,none,NA,only_right,not_talking,looking_road,opening,NA,urban,rain,afternoon,high,severe_over,0.385
reach_side,none,NA,only_right,not_talking,looking_road,undefined,NA,rural,rain,evening,medium,under,0.307
reach_side,none,NA,only_right,not_talking,not_looking_road,close,NA,highway,clear,morning,high,severe_over,0.48
reach_side,none,NA,only_right,not_talking,not_looking_road,closing,NA,urban,clear,night,high,severe_over,0.516
reach_side,none,NA,only_right,not_talking,not_looking_road,open,NA,highway,clear,evening,high,under,0.398
reach_side,none,NA,only_right,not_talking,not_looking_road,opening,NA,highway,rain,night,high,under,0.492
reach_side,none,NA,only_right,not_talking,not_looking_road,undefined,NA,urban,rain,night,medium,severe_over,0.5
reach_side,none,NA,only_right,Yawning without hand,looking_road,close,NA,urban,rain,afternoon,high,none,0.336
reach_side,none,NA,only_right,Yawning without hand,looking_road,closing,NA,rural,rain,morning,high,under,0.324
reach_side,none,NA,only_right,Yawning without hand,looking_road,open,NA,urban,snow,morning,high,under,0.316
reach_side,none,NA,only_right,Yawning without hand,looking_road,opening,NA,rural,clear,afternoon,high,severe_over,0.328
reach_side,none,NA,only_right,Yawning without hand,looking_road,undefined,NA,highway,snow,afternoon,high,under,0.393
reach_side,none,NA,only_right,Yawning without hand,not_looking_road,close,NA,urban,fog,evening,high,under,0.5
reach_side,none,NA,only_right,Yawning without hand,not_looking_road,closing,NA,rural,snow,evening,medium,severe_over,0.537
reach_side,none,NA,only_right,Yawning without hand,not_looking_road,open,NA,urban,snow,morning,high,severe_over,0.471
reach_side,none,NA,only_right,Yawning without hand,not_looking_road,opening,NA,urban,clear,morning,high,under,0.365
reach_side,none,NA,only_right,Yawning without hand,not_looking_road,undefined,NA,highway,rain,afternoon,low,under,0.41
reach_backseat,none,NA,none,talking,looking_road,close,NA,urban,clear,evening,high,under,0.553
reach_backseat,none,NA,none,talking,looking_road,closing,NA,rural,rain,afternoon,medium,severe_over,0.59
reach_backseat,none,NA,none,talking,looking_road,open,NA,urban,fog,night,high,none,0.545
reach_backseat,none,NA,none,talking,looking_road,opening,NA,urban,snow,afternoon,medium,severe_over,0.615
reach_backseat,none,NA,none,talking,looking_road,undefined,NA,urban,snow,evening,high,under,0.602
reach_backseat,none,NA,only_left,talking,looking_road,close,NA,rural,snow,afternoon,high,severe_over,0.508
reach_backseat,none,NA,only_left,talking,looking_road,closing,NA,urban,snow,evening,high,severe_over,0.545
reach_backseat,none,NA,only_left,talking,looking_road,open,NA,rural,clear,afternoon,low,severe_over,0.32
reach_backseat,none,NA,only_left,talking,looking_road,opening,NA,urban,clear,morning,high,under,0.332
reach_backseat,none,NA,only_left,talking,looking_road,undefined,NA,rural,clear,evening,high,severe_over,0.414
reach_backseat,none,NA,only_right,talking,looking_road,close,NA,rural,clear,afternoon,medium,under,0.344
reach_backseat,none,NA,only_right,talking,looking_road,closing,NA,urban,snow,morning,high,severe_over,0.504
reach_backseat,none,NA,only_right,talking,looking_road,open,NA,rural,fog,morning,medium,severe_over,0.377
reach_backseat,none,NA,only_right,talking,looking_road,opening,NA,urban,clear,morning,high,severe_over,0.389
reach_backseat,none,NA,only_right,talking,looking_road,undefined,NA,rural,fog,morning,high,severe_over,0.434
reach_backseat,none,NA,none,talking,not_looking_road,close,NA,highway,rain,evening,medium,none,0.668
reach_backseat,none,NA,none,talking,not_looking_road,closing,NA,urban,fog,afternoon,high,under,0.693
reach_backseat,none,NA,none,talking,not_looking_road,open,NA,urban,fog,afternoon,high,none,0.602
reach_backseat,none,NA,none,talking,not_looking_road,opening,NA,urban,fog,morning,high,severe_over,0.697
